"condition","n","m1_qac_pct","m2_trust","m3_save","m3_click_pct"
"L1E1I1",27,62.962962962963,5.55555555555556,4.81481481481481,66.6666666666667
"L1E1I2",29,79.3103448275862,5.37068965517241,4.89655172413793,72.4137931034483
"L1E2I1",28,57.1428571428571,4.58928571428571,4.85714285714286,78.5714285714286
"L1E2I2",27,59.2592592592593,4.48148148148148,4.74074074074074,62.962962962963
"L2E1I1",27,77.7777777777778,4.87962962962963,4.59259259259259,70.3703703703704
"L2E1I2",27,74.0740740740741,5.03703703703704,4.48148148148148,59.2592592592593
"L2E2I1",25,44,4,4.28,52
"L2E2I2",27,40.7407407407407,3.82407407407407,3.92592592592593,55.5555555555556
